date;ip;lang;col;site;query;index;where;filter;page;output;referer;session;format;sort
2018-10-15 15:05:17;172.28.0.1;pt;;solr/scielo-articles;doi:*;*;*;*;1;site;http://localhost/?q=&lang=pt&count=15&from=0&output=site&sort=&format=summary&fb=&page=1&q=*&lang=pt&page=1;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:05:17;172.28.0.1;pt;;solr/scielo-articles;doi:*;*;*;*;1;site;http://localhost/?q=&lang=pt&count=15&from=0&output=site&sort=&format=summary&fb=&page=1&q=*&lang=pt&page=1;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:05:21;172.28.0.1;pt;;solr/scielo-articles;doi:*;*;*;*;1;metasearch;http://localhost/?q=*&lang=pt&count=15&from=0&output=site&sort=&format=summary&fb=&page=1&q=doi%3A*&lang=pt&page=1;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:05:22;172.28.0.1;pt;;solr/scielo-articles;doi:*;*;*;*;1;site;http://localhost/?q=*&lang=pt&count=15&from=0&output=site&sort=&format=summary&fb=&page=1&q=doi%3A*&lang=pt&page=1;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:05:24;172.28.0.1;pt;;solr/scielo-articles;*;*;*;*;1;site;http://localhost/history/?lang=pt;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:05:28;172.28.0.1;pt;;solr/scielo-articles;teste;*;*;*;1;metasearch;http://localhost/?lang=pt;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:05:28;172.28.0.1;pt;;solr/scielo-articles;teste;*;*;*;1;site;http://localhost/?lang=pt;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:05:41;172.28.0.1;pt;;solr/scielo-articles;*;*;*;*;1;site;http://localhost/?q=&lang=pt&count=15&from=0&output=site&sort=&format=summary&fb=&page=1&q=teste&lang=pt&page=1;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:05:43;172.28.0.1;pt;;solr/scielo-articles;*;*;*;*;1;metasearch;http://localhost/?lang=pt;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:05:43;172.28.0.1;pt;;solr/scielo-articles;*;*;*;*;1;site;http://localhost/?lang=pt;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:10:23;172.28.0.1;pt;;solr/scielo-articles;*;*;*;*;1;site;;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:10:25;172.28.0.1;pt;;solr/scielo-articles;*;*;*;*;1;metasearch;http://localhost/;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:10:25;172.28.0.1;pt;;solr/scielo-articles;*;*;*;*;1;site;http://localhost/;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:10:36;172.28.0.1;pt;;solr/scielo-articles;doi:*;*;*;*;1;metasearch;http://localhost/?q=&lang=pt&count=15&from=0&output=site&sort=&format=summary&fb=&page=1&q=*&lang=pt&page=1;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:10:37;172.28.0.1;pt;;solr/scielo-articles;doi:*;*;*;*;1;site;http://localhost/?q=&lang=pt&count=15&from=0&output=site&sort=&format=summary&fb=&page=1&q=*&lang=pt&page=1;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:10:49;172.28.0.1;pt;;solr/scielo-articles;doi:*;*;*;in:("spa");1;metasearch;http://localhost/?q=*&lang=pt&count=15&from=0&output=site&sort=&format=summary&fb=&page=1&q=doi%3A*&lang=pt&page=1;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:10:49;172.28.0.1;pt;;solr/scielo-articles;doi:*;*;*;in:("spa");1;site;http://localhost/?q=*&lang=pt&count=15&from=0&output=site&sort=&format=summary&fb=&page=1&q=doi%3A*&lang=pt&page=1;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:31:08;172.28.0.1;pt;;solr/scielo-articles;*;*;*;*;1;site;;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:31:10;172.28.0.1;pt;;solr/scielo-articles;*;*;*;*;1;metasearch;http://localhost/;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:31:10;172.28.0.1;pt;;solr/scielo-articles;*;*;*;*;1;site;http://localhost/;o2h1c0v90nrqleaebbgv4j10i1;summary;
2018-10-15 15:31:34;172.28.0.1;pt;;solr/scielo-articles;*;*;*;*;1;site;http://localhost/?q=&lang=pt&count=15&from=0&output=site&sort=&format=summary&fb=&page=1&q=*&lang=pt&page=1;o2h1c0v90nrqleaebbgv4j10i1;summary;
